loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
97;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:51-397;Outermost;0.61;0.27;0.27;0.27;0.27;0;1;
56;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:383-388;Innermost;0.58;0.26;0.26;0.26;0.26;0;1;
92;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:53-398;Outermost;0.56;0.25;0.25;0.25;0.25;0;1;
64;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:272-277;Innermost;0.55;0.25;0.25;0.25;0.25;0;1;
119;bt-mz.A.x;add_._omp_fn.0;38;add.f90:29-29;Innermost;0.32;0.14;0.14;0.14;0.14;0;1;
48;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:402-404;Innermost;0.26;0.12;0.12;0.12;0.12;0;1;
114;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:313-313;Innermost;0.21;0.1;0.1;0.1;0.1;0;1;
95;bt-mz.A.x;x_solve_._omp_fn.0;21;x_solve.f90:341-363;Innermost;0.18;0.08;0.08;0.08;0.08;0;1;
60;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:182-277;InBetween;0.15;0.07;0.07;0.07;0.07;0;1;
71;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:62-365;Outermost;0.14;0.06;0.06;0.06;0.06;0;1;
100;bt-mz.A.x;y_solve_._omp_fn.0;23;y_solve.f90:336-359;Innermost;0.14;0.06;0.06;0.06;0.06;0;1;
105;bt-mz.A.x;copy_x_face_._omp_fn.1;28;exch_qbc.f90:257-261;Single;0.12;0.06;0.06;0.06;0.06;0;1;
67;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:62-169;Outermost;0.08;0.04;0.04;0.04;0.04;0;1;
74;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:37-402;Outermost;0.07;0.03;0.03;0.03;0.03;0;1;
110;bt-mz.A.x;z_solve_._omp_fn.0;36;z_solve.f90:350-374;Innermost;0.07;0.03;0.03;0.03;0.03;0;1;
104;bt-mz.A.x;copy_x_face_._omp_fn.0;27;exch_qbc.f90:246-250;Single;0.06;0.03;0.03;0.03;0.03;0;1;
25;bt-mz.A.x;initialize_._omp_fn.0;9;initialize.f90:37-37;Innermost;0.05;0.02;0.02;0.02;0.02;0;1;
52;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:236-404;InBetween;0.05;0.02;0.02;0.02;0.02;0;1;
49;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:162-404;Outermost;0.05;0.02;0.02;0.02;0.02;0;1;
62;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:254-258;Innermost;0.03;0.02;0.02;0.02;0.02;0;1;
55;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:374-378;Innermost;0.03;0.02;0.02;0.02;0.02;0;1;
54;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:365-369;Innermost;0.03;0.02;0.02;0.02;0.02;0;1;
53;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:356-360;Innermost;0.03;0.02;0.02;0.02;0.02;0;1;
118;bt-mz.A.x;add_._omp_fn.0;38;add.f90:24-29;Outermost;0.03;0.02;0.02;0.02;0.02;0;1;
44;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:70-101;Innermost;0.02;0.01;0.01;0.01;0.01;0;1;
63;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:263-267;Innermost;0.02;0.01;0.01;0.01;0.01;0;1;
102;bt-mz.A.x;copy_y_face_._omp_fn.0;25;exch_qbc.f90:207-211;Single;0.02;0.01;0.01;0.01;0.01;0;1;
47;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:32-32;Innermost;0.01;0.01;0.01;0.01;0.01;0;1;
66;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:182-244;Innermost;0.01;0.01;0.01;0.01;0.01;0;1;
43;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:122-122;Innermost;0.01;0.01;0.01;0.01;0.01;0;1;
61;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:245-249;Innermost;0.01;0.01;0.01;0.01;0.01;0;1;
39;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:149-167;Innermost;0.01;0.01;0.01;0.01;0.01;0;1;
38;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:170-201;Innermost;0.01;0.01;0.01;0.01;0.01;0;1;
59;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:236-240;Innermost;0.01;0.01;0.01;0.01;0.01;0;1;
32;bt-mz.A.x;exact_rhs_._omp_fn.0;13;exact_rhs.f90:270-301;Innermost;0.01;0.01;0.01;0.01;0.01;0;1;
51;bt-mz.A.x;compute_rhs_._omp_fn.0;17;rhs.f90:347-351;Innermost;0.01;0.01;0.01;0.01;0.01;0;1;
103;bt-mz.A.x;copy_y_face_._omp_fn.1;26;exch_qbc.f90:218-222;Single;0.01;0.01;0.01;0.01;0.01;0;1;
